acpi_call 1.1.0-206
alacritty 0.2.9-1
alsa-utils 1.1.8-1
android-emulator 28.0.23-1
android-file-transfer 3.7-2
ansible 2.7.10-1
arduino-avr-core 1.6.23-1
autoconf 2.69-5
automake 1.16.1-1
baobab 3.32.0-1
bash 5.0.003-1
bind-tools 9.14.0-1
binutils 2.32-1
binwalk 2.1.1-5
bison 3.3.2-1
bless 0.6.2-1
bluez-utils 5.50-6
bmon 4.0-3
bzip2 1.0.6-8
cheese 3.32.1-2
chromium 73.0.3683.103-2
clusterssh 4.13.2_02-1
compton 6.2-2
coreutils 8.31-1
cryptsetup 2.1.0-1
cups 2.2.11-2
curl 7.64.1-2
darktable 2:2.6.2-1
device-mapper 2.02.184-4
dhcpcd 7.0.8-1
dialog 1:1.3_20190211-1
diffutils 3.7-1
dmenu 4.9-1
dmidecode 3.2-1
doxygen 1.8.15-1
e2fsprogs 1.45.0-1
enscript 1.6.6-3
eog 3.32.1-1
epiphany 3.32.1.2-2
evince 3.32.0-1
expect 5.45.4-1
fakeroot 1.23-1
fcitx-googlepinyin 0.1.6-6
feh 3.1.3-1
file 5.36-1
file-roller 3.32.1-1
filesystem 2018.12-2
findutils 4.6.0-4
flex 2.6.4-2
fprint_demo 0.4-1
fprintd 0.8.1-2
gawk 4.2.1-2
gcc 8.3.0-1
gcc-libs 8.3.0-1
gdb 8.2.1-3
gdm 3.32.0+2+g820f90f5-1
gedit 3.32.0-2
gettext 0.19.8.1-3
ghidra 9.0.1-1
gimp 2.10.10-1
git 2.21.0-1
glibc 2.29-1
gnome-boxes 3.32.0.2-1
gnome-calculator 3.32.1-1
gnome-calendar 3.32.0+4+g64362206-1
gnome-characters 3.32.1-1
gnome-clocks 3.32.0-2
gnome-color-manager 3.32.0-1
gnome-contacts 3.32-2
gnome-control-center 3.32.1-1
gnome-dictionary 3.26.1-1
gnome-disk-utility 3.32.1-1
gnome-documents 3.32.0-1
gnome-font-viewer 3.32.0-1
gnome-getting-started-docs 3.32.1-1
gnome-logs 3.32.1-1
gnome-maps 3.32.1-1
gnome-music 1:3.32.1-1
gnome-photos 3.32.0-1
gnome-remote-desktop 0.1.7-1
gnome-screenshot 3.32.0-1
gnome-shell 1:3.32.1-1
gnome-shell-extension-dash-to-dock 66-1
gnome-shell-extensions 3.32.1-1
gnome-software 3.32.1-1
gnome-system-monitor 3.32.1-1
gnome-terminal 3.32.1-1
gnome-themes-extra 3.28-1
gnome-todo 3.28.1+17+gb2ffd8f-1
gnome-tweaks 3.32.0-1
gnome-user-docs 3.32.1-1
gnome-user-share 3.32.0.1-1
gnome-video-effects 0.4.3+13+g6867955-1
gnu-netcat 0.7.1-7
