acpid 2.0.31-1
aircrack-ng 1.4-1
alacritty 0.2.3-2
alacritty-terminfo-git 0.2.3.1009.g2ede659-1
alsa-utils 1.1.7-1
android-tools 9.0.0_r3-1
arduino-ctags 5.8_arduino11-3
autoconf 2.69-5
automake 1.16.1-1
autopep8 1:1.4.3-1
baobab 3.30.0-1
bash 4.4.023-1
bbswitch 0.8-180
beep 1.3-4
bind-tools 9.13.4-1
binutils 2.31.1-3
bison 3.2-1
bless 0.6.1-1
bluez-utils 5.50-3
bmon 4.0-3
bumblebee 3.2.1-20
bzip2 1.0.6-8
ccid 1.4.30-2
chromium 70.0.3538.110-1
clang 7.0.0-1
clutter 1.26.2-2
coreutils 8.30-1
cryptsetup 2.0.5-1
cups 2.2.9-1
darktable 2:2.4.4-2
dconf-editor 3.30.2-1
debtap 3.2.2-1
device-mapper 2.02.182-1
dhcpcd 7.0.8-1
dialog 1:1.3_20181107-1
diffutils 3.6-2
digilent.waveforms 3.8.2-1
dmenu 4.8-1
dmg2img 1.6.7-2
docker 1:18.09.0-2
dolphin-emu 1:5.0.r7309.10d230a512-6
doxygen 1.8.14-1
dsniff 2.4b1-27
e2fsprogs 1.44.4-1
efibootmgr 16-1
egl-wayland 1.1.0-1
empathy 3.25.90+34+g78f4d4fda-3
enscript 1.6.6-3
eog 3.28.4-1
epiphany 3.30.2-2
espeak 1:1.48.04-2
evince 3.30.2-1
exo 0.12.3-1
fakeroot 1.23-1
feh 3.1-1
file 5.35-1
filesystem 2018.8-1
findutils 4.6.0-4
firefox 63.0.3-1
firefox-nightly 65.0a1.20181023-1
flashplugin 31.0.0.153-1
flatplat-theme 1:3.22.20170323-1
flex 2.6.4-2
freeglut 3.0.0-2
garcon 0.6.1-2
gawk 4.2.1-1
gcc 8.2.1+20180831-1
gcc-libs 8.2.1+20180831-1
gdb 8.2-2
gdm 3.30.2-1
gettext 0.19.8.1-3
ghc 8.6.2-1
gimp 2.10.8-1
git 2.19.2-1
glibc 2.28-5
gnome-calculator 3.30.1-1
gnome-contacts 3.30.1-1
gnome-control-center 3.30.2-1
gnome-dictionary 3.26.1-1
